Contig_ID	S1_R1_001.masked	S2_R1_001.masked	S3_R1_001.masked	S4_R1_001.masked	S5_R1_001.masked	S6_R1_001.masked	S7_R1_001.masked	S8_R1_001.masked	S9_R1_001.masked	S10_R1_001.masked	S11_R1_001.masked	S12_R1_001.masked
Gene_388	2	1	6	4	0	3	1	1	6	1	2	0
Gene_389	0	4	1	1	6	3	10	1	3	4	3	4
Gene_390	7	7	1	6	8	7	7	4	8	10	8	4
Gene_391	3	2	3	8	0	8	8	1	1	3	1	7
Gene_392	15	13	10	21	12	31	21	10	17	15	11	28
Gene_393	2	3	4	9	0	2	0	1	7	4	0	1
Gene_394	7	1	6	10	5	1	6	8	9	10	6	19
Gene_395	17	20	16	26	33	19	19	20	19	26	2	10
Gene_396	3	12	22	24	7	1	3	5	44	16	2	4
Gene_397	1	0	3	8	2	5	3	0	0	3	0	1
Gene_398	3	6	1	4	1	2	2	1	3	4	1	3
Gene_399	2	2	0	1	5	5	2	3	1	1	3	2
Gene_400	4	6	3	12	10	4	5	2	4	24	3	14
Gene_401	14	14	16	21	5	6	21	9	10	17	5	7
Gene_402	2	4	4	10	0	1	1	1	6	8	1	0
Gene_403	24	30	21	43	14	17	53	25	43	25	28	25
Gene_404	6	10	3	16	6	10	7	3	11	9	4	5
Gene_405	6	9	7	8	5	6	5	5	5	4	4	1
Gene_406	37	56	40	4	0	3	6	84	39	16	5	6
Gene_407	2	8	13	12	0	0	2	1	11	19	0	0
Gene_408	1	4	2	3	1	2	1	4	1	4	1	4
Gene_409	0	0	2	4	4	6	1	5	3	2	4	2
Gene_410	0	7	0	11	3	3	1	3	3	5	1	0
Gene_411	5	8	1	14	5	5	5	7	5	6	5	4
Gene_412	4	6	3	11	1	4	8	6	4	5	5	3
Gene_413	0	1	10	17	0	18	23	11	16	20	5	3
Gene_414	1	6	1	19	13	10	4	10	4	12	8	2
Gene_415	0	0	4	12	0	0	2	1	6	3	0	2
Gene_416	1	1	3	7	1	3	5	2	2	1	2	0
Gene_417	4	2	3	12	7	5	5	0	6	3	10	17
Gene_418	2	1	1	6	2	6	4	2	2	3	4	7
Gene_419	0	3	2	3	2	6	1	1	0	4	5	3
Gene_420	3	5	1	2	3	3	4	0	2	2	0	4
Gene_421	1	5	2	8	8	9	7	2	3	1	7	9
Gene_422	1	2	3	8	2	2	5	2	3	6	5	4
Gene_423	1	4	5	5	2	3	7	6	2	5	5	0
Gene_424	0	4	6	1	0	0	5	2	10	0	0	4
Gene_425	7	7	11	12	2	3	7	9	10	11	5	12
Gene_426	1	7	3	1	2	3	5	0	9	6	3	2
Gene_427	1	3	0	1	0	4	10	4	2	1	4	7
Gene_428	1	1	7	4	0	1	1	1	2	6	0	1
Gene_429	4	8	4	10	7	15	10	11	9	15	10	8
Gene_430	14	45	8	0	1	0	8	41	7	0	0	0
Gene_431	3	0	1	3	1	0	4	4	3	3	0	2
Gene_432	2	4	6	3	0	2	4	2	3	3	0	0
Gene_433	10	25	23	8	29	26	32	30	8	29	19	16
Gene_434	11	14	4	8	8	15	11	16	6	7	11	5
Gene_435	14	13	2	4	11	11	5	21	22	12	0	2
Gene_436	6	8	4	4	0	8	8	5	10	5	0	5
Gene_437	2	2	0	1	0	0	7	3	9	2	0	2
Gene_438	0	1	1	0	2	4	4	3	6	1	1	2
Gene_439	7	0	0	2	0	1	6	11	4	5	1	2
Gene_440	3	4	3	3	0	3	11	2	4	3	3	1
Gene_441	1	3	6	20	5	3	4	5	5	9	1	6
Gene_442	2	4	4	10	0	0	1	3	9	2	0	1
Gene_443	3	5	5	4	5	6	5	7	3	9	2	4
Gene_444	2	0	1	7	0	1	0	3	6	3	2	0
Gene_445	1	3	5	3	0	2	2	1	4	4	1	0
Gene_446	4	4	9	7	2	6	6	0	6	2	5	6
Gene_447	0	0	1	5	1	0	5	3	4	1	4	0
Gene_448	7	3	2	6	10	6	4	2	3	8	8	7
Gene_449	1	1	1	3	2	4	1	3	1	1	3	4
Gene_450	4	4	0	6	2	1	8	2	1	2	1	3
Gene_451	5	2	0	0	4	3	3	0	3	2	2	3
Gene_452	8	16	22	60	3	2	8	17	30	31	1	4
Gene_453	3	1	2	9	4	7	17	11	4	11	3	12
Gene_454	2	2	3	14	13	8	3	0	6	5	6	26
Gene_455	5	7	5	8	11	12	12	7	6	5	4	7
Gene_456	2	3	3	7	0	2	1	4	10	2	4	4
Gene_457	5	5	8	2	3	1	1	1	8	1	5	2
Gene_458	1	4	3	6	3	4	5	2	2	3	4	1
Gene_459	3	1	4	3	11	3	5	0	3	2	3	6
Gene_460	7	1	1	7	5	1	6	0	2	1	5	5
Gene_461	0	3	3	4	2	2	0	2	1	8	2	1
Gene_462	16	17	3	0	0	6	7	18	1	0	0	2
Gene_463	5	5	0	3	1	4	1	1	4	1	2	0
Gene_464	5	1	8	18	3	9	4	0	8	3	10	12
Gene_465	0	0	0	0	7	4	3	1	5	6	0	6
Gene_466	2	5	2	4	1	0	2	4	2	2	0	2
Gene_467	0	0	1	6	0	5	0	3	1	6	1	2
Gene_468	4	1	3	1	2	1	3	4	2	1	4	1
Gene_469	3	6	6	16	1	4	7	4	10	10	7	12
Gene_470	3	2	0	9	0	0	1	1	1	1	0	6
Gene_471	36	34	37	42	19	27	23	43	36	28	13	45
Gene_472	7	13	19	21	2	7	7	17	13	24	7	12
Gene_473	4	0	2	3	5	2	0	5	1	1	2	0
Gene_474	5	9	6	8	0	1	1	12	4	6	0	1
Gene_475	2	4	2	5	5	5	4	6	3	4	9	2
Gene_476	0	5	4	4	3	2	2	3	0	5	0	0
Gene_477	4	4	3	10	0	16	12	8	8	4	9	19
Gene_478	3	6	3	12	7	4	3	4	3	8	1	3
Gene_479	0	13	2	2	0	2	2	6	10	2	0	0
Gene_480	1	4	6	5	2	2	4	3	6	1	0	0
Gene_481	1	1	3	5	2	0	5	1	4	6	3	0
Gene_482	2	2	5	3	1	0	4	1	3	2	5	0
Gene_483	4	7	1	43	22	12	7	3	5	20	7	9
Gene_484	3	10	5	5	1	1	0	2	8	0	1	4
Gene_485	0	1	3	8	2	0	2	2	9	4	0	0
Gene_486	7	10	16	19	1	9	12	6	18	15	10	7
Gene_487	9	7	5	7	5	15	9	10	9	12	9	11
Gene_488	3	2	6	7	2	1	8	0	3	7	2	9
Gene_489	3	0	2	6	3	3	2	5	4	4	0	2
Gene_490	2	4	2	6	0	2	4	6	8	7	2	2
Gene_491	1	3	3	2	1	1	7	1	2	1	2	3
Gene_492	4	4	2	5	1	3	6	8	1	1	0	1
Gene_493	2	5	2	12	2	1	0	0	3	7	0	4
Gene_494	4	11	5	3	0	1	7	13	2	3	2	6
Gene_495	2	6	4	3	2	3	0	3	4	9	3	7
Gene_496	0	2	3	3	6	5	0	3	4	1	1	1
Gene_497	2	9	6	3	1	1	1	3	4	5	1	4
Gene_498	1	4	8	11	10	6	2	0	6	13	0	4
Gene_499	0	3	2	5	3	2	2	1	2	3	2	2
Gene_500	3	12	7	8	3	7	8	5	9	12	4	3
