Contig_ID	S1_R1_001.masked	S2_R1_001.masked	S3_R1_001.masked	S4_R1_001.masked	S5_R1_001.masked	S6_R1_001.masked	S7_R1_001.masked	S8_R1_001.masked	S9_R1_001.masked	S10_R1_001.masked	S11_R1_001.masked	S12_R1_001.masked
Gene_208	7	2	2	2	0	1	5	1	3	0	1	1
Gene_209	10	5	6	11	2	7	19	11	5	1	3	3
Gene_210	15	11	13	28	12	19	31	10	22	22	13	12
Gene_211	0	2	14	4	0	0	2	0	8	0	0	0
Gene_212	1	0	4	9	1	1	1	0	1	5	0	2
Gene_213	1	3	1	3	6	2	2	1	1	3	0	3
Gene_214	3	1	3	5	0	4	1	2	4	1	0	3
Gene_215	0	0	1	12	0	1	0	1	8	4	1	0
Gene_216	2	1	3	6	0	4	3	1	1	1	2	2
Gene_217	1	4	3	19	3	0	1	0	1	4	0	2
Gene_218	15	8	4	2	0	0	3	4	4	1	0	7
Gene_219	5	3	3	4	5	1	5	2	4	4	1	0
Gene_220	1	0	3	20	0	23	5	1	1	1	11	8
Gene_221	5	3	1	5	5	11	7	3	6	6	7	2
Gene_222	0	1	2	6	3	1	5	1	4	1	1	3
Gene_223	0	9	5	7	1	7	7	5	2	4	4	1
Gene_224	5	11	9	8	3	10	12	3	6	9	9	7
Gene_225	1	5	1	5	3	4	1	1	1	4	1	0
Gene_226	1	5	3	0	4	2	5	3	4	3	0	1
Gene_227	6	8	8	22	10	6	8	11	7	12	0	6
Gene_228	11	10	3	0	4	4	20	8	20	9	2	13
Gene_229	12	1	11	22	13	13	8	2	10	16	8	13
Gene_230	4	3	1	11	0	1	1	3	7	1	0	0
Gene_231	0	1	1	0	0	5	17	0	0	0	0	0
Gene_232	5	4	1	0	0	6	4	0	2	0	3	11
Gene_233	6	6	5	4	1	1	3	3	5	6	1	1
Gene_234	6	5	11	12	2	7	12	2	11	6	8	17
Gene_235	12	3	8	34	7	17	9	5	21	24	17	27
Gene_236	1	0	2	3	0	6	1	0	4	3	2	6
Gene_237	2	4	4	8	1	7	11	7	6	3	0	5
Gene_238	4	1	1	1	2	1	5	5	2	1	0	1
Gene_239	7	26	35	77	9	46	125	38	28	24	29	22
Gene_240	2	2	1	4	0	4	5	1	0	3	2	0
Gene_241	11	7	7	1	0	2	3	5	7	0	3	5
Gene_242	6	2	0	20	9	2	4	2	6	5	1	2
Gene_243	0	1	1	3	5	5	6	8	4	0	4	3
Gene_244	10	9	2	4	7	9	13	7	6	7	4	7
Gene_245	2	2	1	7	0	12	8	1	0	2	3	6
Gene_246	0	1	6	17	2	4	8	0	6	7	3	14
Gene_247	1	4	2	1	3	2	6	5	2	2	1	2
Gene_248	9	14	7	12	13	16	21	10	9	10	5	9
Gene_249	0	3	10	1	0	1	1	1	5	1	0	1
Gene_250	7	7	6	9	7	14	3	8	3	4	8	8
Gene_251	2	4	8	1	3	9	5	4	5	2	6	6
Gene_252	0	2	2	9	0	0	1	1	8	2	0	0
Gene_253	55	60	53	88	25	71	82	70	87	57	40	61
Gene_254	1	0	0	9	7	1	6	1	3	3	3	12
Gene_255	0	3	4	6	0	1	1	0	9	4	0	0
Gene_256	1	4	6	3	4	1	3	1	2	6	1	3
Gene_257	5	7	6	10	6	2	6	1	3	4	2	2
Gene_258	10	7	13	19	11	7	7	1	13	8	2	16
Gene_259	1	7	6	3	0	4	12	12	0	0	0	0
Gene_260	2	14	23	13	1	3	11	11	26	12	0	2
Gene_261	2	8	2	4	8	5	0	3	3	3	0	6
Gene_262	3	10	2	7	3	3	5	2	2	5	2	6
Gene_263	4	1	1	1	1	4	3	0	3	3	1	2
Gene_264	5	8	4	8	3	11	11	4	7	11	4	1
Gene_265	2	7	7	7	3	10	5	3	10	5	2	3
Gene_266	14	20	13	13	4	2	9	21	1	18	1	2
Gene_267	3	0	5	5	2	8	6	7	7	7	0	1
Gene_268	0	2	1	13	2	4	6	1	5	7	4	12
Gene_269	16	12	11	11	23	24	13	12	14	14	15	13
Gene_270	1	0	2	11	3	2	4	4	2	9	2	1
Gene_271	3	2	5	3	2	2	4	1	3	3	0	1
Gene_272	8	19	12	21	3	4	22	15	12	7	2	4
Gene_273	0	0	2	9	0	1	1	1	6	7	0	1
Gene_274	2	3	3	3	4	5	2	1	0	7	4	1
Gene_275	0	1	2	3	0	0	5	3	10	6	1	1
Gene_276	2	3	4	8	0	1	0	0	3	1	1	1
Gene_277	0	4	0	7	5	5	2	5	6	6	0	0
Gene_278	5	2	5	10	6	7	2	11	7	6	6	8
Gene_279	17	3	2	0	0	0	0	0	0	3	0	1
Gene_280	12	4	0	0	8	0	1	0	1	0	1	7
Gene_281	1	2	1	5	1	4	9	7	2	5	1	1
Gene_282	5	7	9	5	10	5	9	8	2	7	8	2
Gene_283	8	8	1	11	7	2	15	9	4	1	7	4
Gene_284	3	0	3	0	0	2	8	1	4	2	0	1
Gene_285	1	2	1	4	3	4	2	1	7	5	6	7
