Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
SAR406_Cluster_1868	6	3	1	0	5	1	1	0	9	0	6	0	0	7	4	3	0	0	2	13	7	6	15	5	1	6	0	2	3	5	4	7	0	2	4
SAR406_Cluster_362	5	3	0	2	2	1	5	0	20	0	8	0	0	9	1	0	1	7	4	2	3	4	2	1	2	2	1	3	0	7	3	11	9	6	3
SAR406_Cluster_514	12	10	1	5	3	3	4	0	12	1	10	1	1	3	2	1	2	4	1	5	7	3	6	2	3	2	1	3	0	1	2	1	6	5	4
SAR406_Cluster_312	3	6	1	2	8	7	4	0	9	2	13	2	0	5	3	2	1	4	4	6	1	1	2	0	0	3	1	2	5	3	6	6	4	6	4
SAR406_Cluster_940	6	2	0	3	3	5	9	0	17	3	10	0	1	10	2	2	3	4	4	2	2	2	7	0	0	2	0	4	0	1	1	7	6	3	4
SAR406_Cluster_285	3	8	0	2	10	4	2	0	4	0	16	0	0	3	1	3	0	4	1	4	4	6	5	0	3	2	0	3	2	5	5	13	9	2	0
SAR406_Cluster_355	6	3	0	3	5	3	3	0	14	0	15	1	0	3	8	1	0	4	3	1	3	4	5	0	3	5	0	2	1	6	5	6	7	4	0
SAR406_Cluster_289	5	7	0	2	6	2	6	0	10	0	17	0	0	1	3	1	3	5	1	5	6	7	9	1	1	0	0	3	1	3	3	6	5	2	2
SAR406_Cluster_437	8	2	0	1	3	6	4	0	14	0	6	0	0	5	5	2	4	1	3	4	2	4	7	1	2	4	0	5	0	5	6	5	3	6	5
SAR406_Cluster_596	6	5	0	0	3	6	3	0	14	0	9	1	1	4	3	3	1	6	2	2	1	3	9	2	3	3	0	4	4	3	3	6	5	3	5
SAR406_Cluster_709	4	0	1	1	6	5	4	0	19	0	10	0	2	10	0	4	2	3	2	7	3	4	5	0	1	2	0	2	1	1	5	3	7	2	7
SAR406_Cluster_798	10	1	0	2	4	3	5	0	18	1	16	0	0	7	4	0	2	4	3	2	3	6	3	0	1	1	0	2	0	6	3	6	5	1	4
SAR406_Cluster_894	5	3	0	0	4	5	6	0	10	0	12	1	1	2	3	2	1	1	3	3	2	3	11	2	3	4	2	1	2	8	7	6	4	4	2
SAR406_Cluster_127	5	3	0	3	4	4	2	0	11	1	17	0	0	11	7	1	1	0	5	4	5	1	4	2	1	2	1	0	1	6	2	11	3	2	2
SAR406_Cluster_138	9	4	1	1	2	2	3	2	22	0	7	1	0	8	7	2	3	5	2	2	1	2	8	0	0	0	0	1	2	2	1	8	7	6	1
SAR406_Cluster_359	4	3	0	3	7	6	4	0	14	0	9	1	0	9	3	1	1	6	6	3	6	1	6	0	1	3	0	3	4	3	3	6	1	2	3
SAR406_Cluster_121	4	3	0	5	6	5	5	0	16	0	8	0	0	5	4	3	1	2	4	3	3	3	5	1	2	1	1	1	1	2	7	8	5	4	3
SAR406_Cluster_196	11	2	0	2	6	4	1	0	8	0	16	3	0	5	2	2	1	3	4	2	1	10	5	1	1	0	0	4	2	4	1	6	9	3	2
SAR406_Cluster_17	7	2	1	0	1	9	6	0	11	2	2	0	1	4	4	3	1	5	4	8	0	4	5	0	1	2	1	5	0	4	2	3	11	7	4
SAR406_Cluster_126	12	7	0	1	7	1	1	0	12	0	19	1	0	3	1	6	3	6	2	1	1	4	5	2	0	0	0	1	3	5	5	4	3	4	0
SAR406_Cluster_248	5	4	0	4	1	3	5	0	21	1	10	1	2	8	1	2	1	0	1	4	3	6	5	0	0	4	0	5	5	2	2	3	2	4	5
SAR406_Cluster_323	7	3	0	0	3	6	5	0	13	0	18	0	0	10	1	2	1	2	1	4	3	4	6	0	1	0	1	2	0	2	4	6	10	3	2
SAR406_Cluster_333	8	3	0	3	0	2	6	0	21	1	13	0	0	11	0	1	3	4	1	2	3	2	9	1	1	1	1	2	1	1	0	7	5	2	4
SAR406_Cluster_433	7	3	0	5	4	5	5	0	11	1	6	0	0	3	2	5	2	0	6	2	4	5	8	0	3	4	0	3	0	4	2	1	8	6	4
SAR406_Cluster_657	5	7	0	4	0	5	2	0	12	0	11	0	0	5	2	0	3	0	4	7	7	2	9	2	0	3	0	4	0	7	2	3	6	4	3
SAR406_Cluster_771	5	2	0	1	6	1	2	0	19	0	9	0	0	8	3	1	0	5	3	5	2	6	4	4	1	1	1	5	1	5	5	4	5	5	0
SAR406_Cluster_775	8	3	0	3	5	2	3	0	8	2	15	0	1	1	8	1	2	1	1	2	5	3	9	0	3	2	0	5	1	6	3	6	3	4	3
SAR406_Cluster_16	5	1	1	3	7	2	4	0	8	1	15	0	0	5	6	3	2	4	1	4	1	3	4	0	0	2	0	1	1	4	2	12	10	4	2
SAR406_Cluster_672	5	3	1	4	3	3	3	1	14	1	4	0	0	2	1	1	2	1	2	2	2	5	6	2	4	5	2	3	3	4	5	10	6	3	3
SAR406_Cluster_1039	4	6	1	1	6	3	3	0	10	0	7	0	0	2	3	0	1	1	1	8	4	4	8	0	2	2	1	6	5	5	8	4	2	3	5
SAR406_Cluster_1041	3	1	0	4	5	2	4	0	12	0	8	0	0	5	0	0	0	0	0	1	4	3	13	2	1	5	0	3	5	1	10	13	3	1	7
SAR406_Cluster_934	5	2	0	4	4	2	5	0	6	0	13	0	0	4	5	0	1	1	2	3	6	3	6	0	1	3	1	1	2	8	4	10	3	3	7
SAR406_Cluster_319	6	5	0	3	8	6	12	0	12	2	8	0	0	7	1	0	2	3	1	3	2	5	1	0	0	0	0	3	2	2	2	4	9	3	2
SAR406_Cluster_481	8	1	0	4	7	4	3	0	15	0	10	0	0	4	5	0	3	2	5	5	1	4	3	0	0	2	2	0	3	3	6	6	6	1	1
SAR406_Cluster_563	0	0	0	0	4	11	2	0	21	0	8	0	1	14	4	1	1	3	4	7	3	1	4	0	2	2	1	0	1	2	2	7	4	3	1
SAR406_Cluster_616	7	4	0	0	1	1	3	0	9	0	16	0	0	3	0	0	2	5	0	4	6	6	7	0	4	7	0	1	1	6	1	5	8	2	5
SAR406_Cluster_890	4	2	0	3	5	3	3	0	17	0	13	0	1	5	2	2	2	5	5	1	0	3	6	0	0	1	0	3	3	2	2	8	7	3	3
SAR406_Cluster_195	6	2	0	1	1	3	2	1	15	0	10	1	0	5	3	1	3	5	3	2	6	5	4	3	3	2	1	1	1	3	4	3	6	7	0
SAR406_Cluster_245	8	3	1	2	4	2	1	0	10	0	9	0	0	6	2	3	2	2	1	3	3	8	9	1	2	1	0	4	4	3	3	3	6	3	4
SAR406_Cluster_262	3	1	0	5	3	3	6	0	20	0	4	1	0	8	0	1	1	2	1	3	4	1	7	0	1	1	0	1	2	3	9	6	10	2	4
SAR406_Cluster_627	7	2	0	3	5	2	3	0	16	0	7	2	0	6	3	1	2	3	3	0	3	1	3	1	1	1	0	2	1	4	3	6	13	4	4
SAR406_Cluster_232	8	1	1	1	3	4	7	0	18	1	9	0	2	7	1	0	1	2	2	5	2	3	4	2	1	4	0	0	3	1	2	2	13	0	1
SAR406_Cluster_427	7	3	0	1	1	5	2	0	12	0	5	0	0	2	0	1	0	4	1	3	3	3	11	2	1	2	1	4	4	7	7	9	5	1	4
SAR406_Cluster_992	6	5	0	1	7	4	3	0	8	0	4	0	3	7	3	1	0	7	7	2	1	3	5	0	0	1	2	2	1	2	2	8	9	3	4
SAR406_Cluster_551	7	2	0	1	2	3	5	1	18	0	7	0	1	6	3	0	0	3	1	5	3	3	3	1	0	1	0	3	4	1	5	10	3	3	5
SAR406_Cluster_620	5	1	0	2	6	1	5	0	12	0	9	0	2	16	3	1	2	4	7	3	3	2	5	0	0	0	0	0	2	3	2	5	5	2	2
SAR406_Cluster_1502	4	1	0	2	3	3	2	0	10	0	8	0	0	3	1	1	2	0	2	6	0	7	6	2	7	3	3	7	3	6	5	6	2	0	5
SAR406_Cluster_465	6	2	0	5	5	6	2	0	5	0	11	1	1	5	2	1	2	3	2	6	1	4	5	1	0	0	0	1	1	3	5	7	7	6	3
SAR406_Cluster_1227	8	3	1	4	2	6	4	0	16	1	10	0	0	8	2	2	1	4	1	3	0	2	3	0	0	0	0	0	3	1	7	5	4	4	4
SAR406_Cluster_190	4	5	1	3	5	1	4	1	13	0	12	2	0	2	3	2	2	3	2	1	4	3	7	1	3	3	0	2	1	6	6	3	1	0	2
SAR406_Cluster_346	4	2	0	1	4	3	5	0	11	0	13	0	1	7	1	1	3	3	0	4	1	3	7	1	0	1	0	0	4	4	4	7	5	4	4
SAR406_Cluster_409	7	1	0	3	7	6	9	1	20	0	11	0	2	1	1	5	2	4	5	0	1	1	3	0	0	1	0	0	0	3	0	5	3	3	3
SAR406_Cluster_1867	3	4	0	3	7	2	3	0	5	0	11	0	0	4	3	1	0	2	3	3	2	7	3	2	1	5	0	2	7	4	2	9	4	1	5
SAR406_Cluster_2	1	3	1	1	2	2	0	0	17	0	6	0	1	8	4	0	1	2	5	3	0	5	5	0	2	1	2	7	1	4	5	5	6	4	3
SAR406_Cluster_6	5	2	0	1	4	6	5	1	13	0	7	2	0	7	1	1	1	4	0	3	3	3	5	1	0	4	0	3	1	4	4	3	6	5	2
SAR406_Cluster_68	7	3	1	5	2	4	2	0	10	0	9	1	0	0	1	0	3	7	0	2	3	6	6	0	3	2	0	3	1	3	3	5	7	3	5
SAR406_Cluster_938	5	3	1	1	4	8	4	1	16	0	11	0	0	1	3	1	2	5	4	6	3	5	5	0	1	1	0	1	2	3	2	2	5	1	0
SAR406_Cluster_350	6	2	0	1	1	3	7	1	25	0	11	0	1	8	4	0	2	4	4	1	1	1	2	0	0	0	0	2	0	3	1	5	4	2	4
SAR406_Cluster_560	3	4	0	0	0	4	10	0	12	1	8	2	0	6	2	2	0	0	4	4	0	5	6	0	1	0	0	3	1	6	3	6	4	4	5
SAR406_Cluster_677	11	2	0	1	3	2	4	1	14	0	13	0	0	4	3	0	1	3	0	1	5	1	3	1	1	1	1	2	1	3	3	4	12	2	3
SAR406_Cluster_133	7	5	0	1	3	7	3	0	14	0	6	1	1	4	4	0	1	1	4	2	0	6	5	2	1	1	0	5	1	4	3	4	6	2	0
SAR406_Cluster_154	7	1	0	0	8	5	3	0	14	0	11	2	0	4	0	1	3	6	3	1	4	2	4	0	0	0	0	2	2	4	3	4	5	3	2
SAR406_Cluster_430	4	4	1	3	7	6	4	0	19	1	5	0	0	4	0	2	2	4	3	3	5	2	2	1	0	0	0	1	3	3	4	4	3	1	3
SAR406_Cluster_524	6	2	0	2	6	2	2	0	14	0	7	1	0	3	0	1	1	5	0	4	2	6	7	1	2	2	0	1	2	3	4	6	5	1	6
SAR406_Cluster_607	2	0	0	2	9	4	3	0	3	0	8	0	1	6	1	2	3	6	4	3	4	2	10	0	2	1	0	0	0	5	9	4	2	2	6
SAR406_Cluster_638	6	0	0	2	2	3	10	0	14	1	16	0	0	8	2	0	3	0	3	3	2	3	2	0	0	1	1	3	1	1	8	5	3	1	0
SAR406_Cluster_899	7	3	0	2	2	5	7	0	11	0	17	0	0	8	3	1	2	1	1	1	1	0	5	0	0	1	0	2	1	0	6	5	2	7	3
SAR406_Cluster_55	7	8	0	3	1	3	5	0	17	0	10	0	0	1	1	0	3	5	3	1	1	6	3	1	2	3	0	2	2	0	0	5	4	3	3
SAR406_Cluster_229	6	4	0	1	4	8	4	0	12	0	4	0	0	4	0	3	3	4	5	2	3	3	2	0	3	1	0	5	3	2	2	6	7	0	2
SAR406_Cluster_494	6	7	2	0	4	4	5	0	17	1	9	0	0	7	2	0	3	4	8	0	1	1	5	0	0	0	0	2	1	0	0	2	5	2	5
SAR406_Cluster_652	5	1	0	1	8	2	6	0	13	0	8	5	0	12	1	0	1	5	0	3	4	2	2	0	0	1	0	1	2	1	4	10	3	1	1
SAR406_Cluster_1079	5	6	0	1	5	2	3	0	15	1	13	0	0	8	2	0	3	6	2	0	0	4	4	0	2	0	0	2	0	4	2	7	2	2	2
SAR406_Cluster_73	14	1	0	3	2	6	2	0	12	0	3	1	0	6	3	0	2	0	3	1	2	6	3	2	2	2	0	2	5	4	3	8	2	0	2
SAR406_Cluster_546	4	4	0	1	0	4	6	0	16	1	5	0	0	7	0	2	3	5	4	2	4	3	5	0	0	1	1	1	0	0	4	4	11	2	2
SAR406_Cluster_4	5	4	0	3	2	2	1	0	15	0	16	0	0	9	2	2	0	0	3	4	2	3	5	0	0	0	1	0	4	4	1	3	5	2	2
SAR406_Cluster_268	7	7	0	1	3	1	5	0	12	0	9	0	0	2	2	1	2	0	1	7	4	2	3	1	1	0	1	2	2	2	4	9	6	1	2
SAR406_Cluster_150	5	1	0	0	5	2	4	0	13	0	5	1	0	8	4	1	2	4	5	6	0	5	2	0	0	0	0	0	1	2	2	9	6	2	4
SAR406_Cluster_776	6	5	0	2	3	0	1	2	11	0	12	2	1	3	5	1	0	0	2	0	2	0	7	1	3	3	1	2	5	4	0	8	3	2	2
SAR406_Cluster_345	3	2	0	2	4	1	4	0	9	1	7	0	1	5	2	3	0	3	3	1	3	3	5	1	1	2	2	3	2	3	5	2	9	2	4
SAR406_Cluster_521	4	5	0	6	6	3	3	0	4	0	13	1	0	0	3	0	1	1	4	1	4	4	3	0	2	3	0	3	1	6	5	4	5	2	1
SAR406_Cluster_287	8	0	0	3	6	0	1	0	10	0	9	0	0	6	6	1	0	3	0	5	1	5	8	1	2	2	0	5	0	4	2	4	3	1	1
SAR406_Cluster_1089	4	3	0	3	5	0	1	0	9	1	6	0	0	3	2	1	1	3	4	5	2	2	9	0	0	1	1	3	2	6	2	8	3	3	4
SAR406_Cluster_608	3	0	0	2	2	5	6	0	16	0	8	0	0	3	3	1	2	2	0	3	3	1	5	0	0	4	0	2	2	5	5	5	2	2	4
SAR406_Cluster_554	8	4	0	1	3	4	1	0	14	0	3	0	0	4	0	2	0	2	3	0	3	2	5	1	2	4	0	2	2	2	1	7	7	3	5
SAR406_Cluster_617	2	4	0	0	6	0	0	0	9	1	9	0	0	3	2	1	2	4	0	7	6	1	6	0	3	3	1	2	2	2	3	3	7	6	0
SAR406_Cluster_797	6	3	0	1	4	1	2	0	11	0	6	1	1	7	2	0	1	5	2	2	0	4	3	2	1	3	1	1	1	4	3	5	9	2	1
SAR406_Cluster_891	3	7	0	2	2	2	4	0	9	0	9	1	0	8	0	1	3	1	1	2	2	3	11	0	0	0	0	1	2	3	2	5	5	4	2
SAR406_Cluster_896	6	6	0	0	5	2	4	2	10	0	8	0	0	4	2	1	3	0	1	3	2	4	7	0	0	1	0	3	0	2	3	8	4	2	2
SAR406_Cluster_1533	3	1	0	1	3	0	3	0	7	0	10	0	1	2	2	0	1	1	0	8	6	4	3	4	5	6	1	4	4	2	5	2	1	2	3
SAR406_Cluster_215	7	2	0	0	4	6	2	0	11	1	10	1	1	9	2	0	4	2	4	2	0	5	6	1	0	1	1	4	0	1	0	2	2	2	1
SAR406_Cluster_498	14	4	1	0	9	0	3	0	10	1	6	2	0	3	5	2	1	5	1	1	1	1	4	0	0	0	0	3	1	4	1	2	7	1	1
SAR406_Cluster_531	6	3	0	0	4	4	3	0	7	0	7	2	0	3	2	2	2	4	4	0	5	7	3	0	0	2	0	4	1	1	1	5	6	6	0
SAR406_Cluster_718	5	2	0	1	3	2	4	0	6	2	3	0	0	5	5	2	4	4	5	0	2	0	5	1	0	1	0	0	1	2	2	11	7	7	2
SAR406_Cluster_19	3	1	1	2	1	4	4	0	17	0	3	1	0	10	0	1	2	4	6	0	3	2	1	0	0	0	0	0	0	2	5	8	6	2	4
SAR406_Cluster_544	4	3	0	3	3	4	1	0	11	0	15	1	0	2	3	1	1	4	0	0	1	2	8	0	0	0	0	2	1	5	5	5	3	3	2
SAR406_Cluster_594	5	1	1	0	1	2	6	1	21	0	5	2	1	5	3	0	0	2	2	4	1	4	3	0	1	1	0	2	0	3	2	2	7	0	5
SAR406_Cluster_801	6	0	0	1	4	4	1	0	15	0	9	3	0	5	3	2	5	3	6	2	0	1	3	0	1	0	1	2	2	0	1	3	6	2	2
SAR406_Cluster_309	7	2	0	1	5	1	1	0	12	0	17	0	0	1	2	2	1	0	4	0	5	4	5	0	1	2	0	1	0	5	6	1	4	0	2
SAR406_Cluster_369	3	4	0	1	4	3	4	0	16	1	4	0	0	2	2	1	2	0	3	3	2	2	4	2	1	1	0	4	2	7	2	3	5	4	0
SAR406_Cluster_697	3	5	0	2	3	2	0	0	8	1	5	2	0	8	5	0	2	2	0	4	2	5	8	0	0	0	0	0	1	3	2	4	10	2	3
SAR406_Cluster_954	8	2	0	0	3	0	1	0	20	0	18	0	0	5	2	1	0	0	0	3	4	2	2	0	0	4	0	1	0	6	1	2	5	0	1
SAR406_Cluster_1876	9	2	0	1	4	3	1	0	11	0	3	0	0	3	3	1	1	2	0	2	4	4	4	1	2	3	0	4	4	6	6	4	3	0	0
SAR406_Cluster_769	7	2	1	2	4	2	2	0	9	1	9	1	0	5	2	1	1	2	5	0	1	2	5	0	1	2	0	5	0	2	3	6	4	2	1
SAR406_Cluster_137	6	1	0	2	3	2	4	0	8	0	3	0	0	10	3	2	2	2	1	4	4	3	1	1	0	7	0	1	1	4	2	4	3	2	3
SAR406_Cluster_327	3	1	0	0	7	4	2	0	9	0	9	0	0	3	2	2	2	2	2	3	2	3	4	0	1	0	0	3	0	4	4	6	5	2	4
SAR406_Cluster_556	4	4	1	0	6	5	1	0	9	0	5	0	0	9	1	1	0	1	1	3	1	4	1	1	1	3	2	3	1	4	5	7	2	1	2
SAR406_Cluster_571	2	3	0	0	3	1	2	0	9	0	14	0	0	5	2	1	3	2	3	2	3	3	3	3	0	2	0	0	3	5	9	3	2	1	0
SAR406_Cluster_1091	4	2	0	2	1	3	6	0	15	1	11	0	0	9	4	3	1	3	1	1	0	5	2	0	0	0	0	0	0	2	5	4	1	1	2
SAR406_Cluster_94	6	4	0	1	4	1	0	0	6	0	16	0	0	2	2	1	2	2	3	1	1	3	4	0	0	0	0	0	1	5	2	7	10	1	3
SAR406_Cluster_522	3	5	0	2	3	0	4	0	4	0	8	0	0	2	2	0	2	2	1	0	2	3	12	2	1	2	0	0	1	4	6	3	5	5	4
SAR406_Cluster_828	5	4	0	4	5	3	4	1	11	0	7	0	1	3	3	0	2	2	2	1	2	3	5	1	0	3	0	1	2	3	2	2	4	1	1
SAR406_Cluster_612	4	5	0	1	1	2	3	0	16	0	7	1	1	3	3	1	1	4	3	7	1	3	3	0	0	0	0	0	1	2	3	2	4	3	2
SAR406_Cluster_7	7	0	0	0	2	4	4	0	10	0	9	3	0	9	1	2	0	3	4	2	3	5	2	0	0	0	0	0	0	3	0	3	6	1	3
SAR406_Cluster_424	4	4	0	3	7	3	6	0	7	1	3	0	1	3	4	1	0	5	4	2	1	4	3	2	0	1	0	1	0	2	3	3	2	2	4
SAR406_Cluster_915	1	3	2	2	2	2	5	0	10	0	1	0	0	9	1	3	3	1	4	1	0	3	6	1	1	1	0	2	1	1	5	3	8	3	1
SAR406_Cluster_1869	3	1	1	5	6	2	0	0	6	0	6	0	0	1	6	0	0	1	1	2	3	6	7	1	3	1	1	6	2	2	2	4	5	2	0
SAR406_Cluster_515	9	1	0	0	2	4	2	0	3	0	10	0	0	7	0	1	0	2	3	1	2	2	3	3	1	4	0	1	3	4	5	4	4	2	2
SAR406_Cluster_785	5	2	1	3	6	4	3	1	14	0	9	0	0	3	1	4	0	1	1	1	0	1	8	0	0	1	0	0	0	1	2	6	2	4	1
SAR406_Cluster_895	7	4	0	0	4	3	2	0	10	0	7	0	0	4	0	1	1	3	3	1	1	1	4	1	1	1	0	0	4	7	5	4	6	0	0
SAR406_Cluster_3	5	1	1	0	1	2	2	0	15	0	7	0	0	8	0	2	3	3	2	1	4	0	2	0	0	1	0	1	4	3	3	2	6	3	1
SAR406_Cluster_162	5	0	0	4	0	7	4	1	10	0	5	0	0	7	6	2	0	1	3	3	0	0	5	0	0	0	0	1	0	2	2	5	5	1	4
SAR406_Cluster_236	3	0	0	2	5	0	2	0	7	0	8	0	0	1	3	0	1	2	3	5	2	4	4	1	2	1	0	2	3	7	6	4	2	3	0
SAR406_Cluster_278	5	4	0	3	5	0	3	0	9	0	20	0	0	1	1	0	2	2	0	0	4	3	6	2	0	1	0	0	0	1	0	3	2	3	3
SAR406_Cluster_883	2	1	0	3	3	1	2	0	11	0	7	0	0	7	1	1	1	3	7	4	4	2	3	1	0	1	1	2	0	3	1	8	2	1	0
SAR406_Cluster_948	7	2	1	0	3	4	3	0	11	0	5	0	1	4	0	2	1	1	2	3	1	3	5	1	2	2	0	0	0	3	3	3	7	2	1
SAR406_Cluster_64	4	1	0	0	6	7	2	0	13	0	7	0	0	1	2	0	2	2	0	4	0	0	6	3	1	1	0	2	2	1	1	4	5	4	1
SAR406_Cluster_108	5	1	2	0	2	3	5	0	7	1	6	0	0	5	1	3	6	2	2	2	3	2	4	0	1	0	1	0	3	1	1	4	4	5	0
SAR406_Cluster_270	7	4	1	3	2	2	2	0	7	0	14	0	0	3	1	0	0	1	0	0	2	4	2	0	1	3	0	2	0	4	4	8	4	1	0
SAR406_Cluster_368	7	2	0	1	5	4	3	0	10	1	6	1	0	3	1	3	1	3	0	2	3	3	1	0	1	0	0	2	0	3	4	4	4	3	1
SAR406_Cluster_1120	1	2	0	3	3	3	6	0	11	0	8	1	0	3	3	0	2	6	0	0	1	3	1	0	0	0	0	0	1	4	4	3	4	5	4
SAR406_Cluster_570	3	3	0	4	2	2	2	0	11	1	6	2	0	3	2	0	0	3	2	1	1	5	3	0	0	1	0	2	5	2	2	0	9	2	2
SAR406_Cluster_790	9	0	0	1	6	2	2	0	11	0	4	2	0	2	1	1	3	2	1	1	0	3	5	0	1	1	1	0	4	1	6	3	5	1	2
SAR406_Cluster_1455	4	1	1	1	5	0	6	1	7	0	2	0	0	2	0	0	0	1	0	4	3	8	7	1	0	3	0	4	2	3	2	2	7	2	2
SAR406_Cluster_95	5	2	0	3	3	3	2	0	12	0	12	0	2	1	0	1	2	3	2	0	0	1	4	0	0	0	0	2	1	4	3	5	4	2	1
SAR406_Cluster_383	2	0	0	1	2	3	5	0	9	1	4	0	0	10	2	0	1	3	3	5	0	3	7	0	0	0	0	0	2	1	2	3	7	2	2
SAR406_Cluster_428	2	1	0	1	8	2	1	0	10	0	8	2	0	7	0	1	0	3	1	1	1	1	4	1	0	5	0	1	1	2	3	1	6	3	3
SAR406_Cluster_833	5	3	0	0	3	3	3	0	6	0	8	0	0	3	0	0	2	4	4	3	1	5	3	1	1	2	0	3	0	2	3	4	4	3	1
SAR406_Cluster_853	7	0	1	1	3	4	3	0	12	0	3	0	0	1	1	0	1	1	1	2	1	1	2	1	1	1	0	1	2	1	5	6	8	4	5
SAR406_Cluster_49	4	0	2	3	0	2	3	0	17	1	2	2	0	3	1	2	2	4	1	2	2	4	1	0	0	0	1	1	2	0	3	9	3	2	0
SAR406_Cluster_532	5	2	0	1	2	1	2	0	5	0	8	1	1	5	1	1	2	3	1	2	2	4	3	0	2	1	0	0	0	6	3	5	3	3	4
SAR406_Cluster_753	2	3	2	1	3	2	2	0	8	1	6	1	0	9	0	2	1	2	4	2	1	2	4	1	0	0	0	3	2	0	0	4	3	6	2
SAR406_Cluster_122	4	2	0	2	2	3	0	0	12	0	3	0	0	7	0	1	2	5	1	2	1	3	4	0	2	1	1	0	0	0	4	6	8	0	2
SAR406_Cluster_513	5	0	0	0	3	5	1	0	14	0	6	0	0	6	1	0	1	2	1	2	1	2	0	1	2	0	0	3	3	0	3	9	3	1	3
SAR406_Cluster_528	3	0	0	3	3	3	3	1	9	0	10	0	1	6	3	1	4	1	0	0	1	2	4	1	0	1	0	0	1	7	3	3	2	0	2
SAR406_Cluster_636	5	1	0	3	0	4	4	0	12	0	5	1	0	4	1	2	3	0	1	1	1	3	6	0	0	0	1	2	2	2	2	7	3	1	1
SAR406_Cluster_671	8	2	0	0	1	1	3	0	11	0	2	1	0	5	3	2	1	0	7	1	0	4	3	1	0	1	0	0	2	1	2	9	3	4	0
SAR406_Cluster_725	9	2	0	0	2	2	2	0	19	0	4	0	0	6	2	1	1	3	2	0	0	6	2	0	0	0	0	0	1	3	1	3	3	1	3
SAR406_Cluster_943	7	8	0	1	4	3	5	0	6	0	8	0	0	4	0	1	1	3	0	0	0	2	2	0	1	1	0	4	0	5	2	1	4	0	5
SAR406_Cluster_982	1	3	0	0	2	2	3	0	13	0	6	0	0	7	2	0	2	2	0	1	2	2	4	0	2	0	1	2	1	3	2	6	8	0	1
SAR406_Cluster_74	2	2	1	0	2	1	1	0	13	1	4	1	0	8	1	1	1	5	0	3	2	1	4	0	1	0	0	1	1	3	3	4	7	1	2
SAR406_Cluster_670	6	2	0	0	8	2	4	0	4	0	7	0	0	1	4	1	0	2	0	6	0	2	5	1	1	2	0	0	0	5	4	2	3	3	2
SAR406_Cluster_130	2	5	0	1	4	0	2	0	9	0	11	1	0	4	1	1	1	2	1	5	1	2	5	0	1	0	0	2	1	6	0	6	1	0	1
SAR406_Cluster_630	7	2	0	0	6	4	1	0	3	0	7	0	1	2	4	4	2	2	0	5	1	1	8	0	1	1	0	0	2	2	2	4	2	1	1
SAR406_Cluster_898	5	1	0	1	2	0	2	0	8	0	9	1	0	8	0	0	1	3	0	3	1	4	4	3	0	3	0	1	1	1	3	6	3	1	1
SAR406_Cluster_962	3	1	0	1	2	6	1	0	14	1	9	1	0	5	1	0	4	2	0	1	2	0	1	0	0	2	1	3	1	2	2	3	5	1	1
SAR406_Cluster_184	3	1	0	2	3	4	2	0	18	0	6	1	0	6	2	0	0	2	0	1	1	2	4	0	1	0	0	0	1	3	0	5	4	0	3
SAR406_Cluster_237	2	1	0	0	3	0	1	0	9	0	5	0	0	2	3	2	0	3	3	2	5	4	4	1	0	0	0	0	1	5	5	4	4	3	3
SAR406_Cluster_438	5	3	0	0	1	0	4	1	11	0	2	2	0	1	1	0	0	7	6	0	1	1	4	0	1	1	1	2	2	4	2	4	3	2	3
SAR406_Cluster_471	4	4	0	0	8	2	3	0	3	1	6	0	0	2	2	0	0	0	0	5	1	1	3	1	3	0	0	2	2	8	2	4	4	2	2
SAR406_Cluster_502	2	1	1	4	9	2	3	0	1	0	13	0	0	7	3	0	1	3	1	0	3	1	5	0	0	1	0	0	2	3	0	2	4	3	0
SAR406_Cluster_642	4	3	0	1	2	1	4	1	6	0	7	2	0	7	1	0	1	2	5	4	4	1	2	0	0	0	0	1	1	0	4	0	6	1	4
SAR406_Cluster_731	3	2	0	2	4	1	1	0	6	1	5	0	0	2	0	0	0	2	0	1	4	2	5	1	0	3	1	1	2	3	3	10	6	3	1
SAR406_Cluster_796	0	2	0	0	2	2	2	0	7	1	8	1	0	6	1	2	0	7	5	2	3	2	2	0	1	1	0	3	0	2	0	1	8	2	2
SAR406_Cluster_955	4	2	1	3	3	4	2	0	4	0	7	0	1	2	3	1	2	1	3	2	1	4	4	1	0	0	0	2	1	6	2	2	3	3	1
SAR406_Cluster_34	6	3	0	2	6	6	3	0	7	0	5	0	0	6	1	0	3	3	2	2	1	0	4	0	1	0	0	1	0	2	3	3	3	0	1
SAR406_Cluster_675	1	1	0	4	2	2	2	0	6	2	7	0	0	1	4	2	2	3	0	2	3	3	3	0	1	1	0	1	0	5	3	8	4	0	1
SAR406_Cluster_755	4	0	0	1	2	3	1	1	16	1	3	0	0	6	3	3	1	1	6	1	0	1	3	0	0	3	0	0	1	0	1	4	2	4	1
