Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
SAR406_Cluster_51	14	16	1	6	11	6	13	0	40	0	33	1	1	20	4	4	6	7	2	7	7	15	21	4	6	2	1	10	4	6	8	20	25	6	4
SAR406_Cluster_29	19	6	1	8	20	6	3	0	15	0	22	0	0	2	10	3	3	2	2	19	15	11	14	14	9	20	0	5	6	13	18	21	15	16	5
SAR406_Cluster_129	16	9	2	9	15	5	4	0	28	0	32	0	1	6	13	4	6	6	4	12	8	15	16	9	5	6	1	9	3	14	15	26	14	4	5
SAR406_Cluster_598	15	9	1	6	6	12	11	0	45	2	20	0	0	19	5	3	6	2	9	13	10	7	14	3	4	7	1	10	5	15	15	14	16	9	5
SAR406_Cluster_472	14	11	2	3	22	8	7	1	28	0	27	2	2	11	4	3	4	7	6	6	10	16	13	4	5	15	2	10	5	7	13	15	12	14	3
SAR406_Cluster_882	24	5	0	0	12	9	11	1	39	0	24	1	2	26	10	7	4	12	7	11	12	12	14	0	2	4	1	2	3	11	2	9	18	7	9
SAR406_Cluster_361	19	11	1	3	17	4	16	0	37	2	20	0	0	11	5	4	7	6	8	8	4	16	15	3	3	4	0	5	5	14	10	20	15	8	6
SAR406_Cluster_720	22	6	0	5	7	9	15	0	44	0	15	1	0	21	6	5	7	19	8	10	3	12	10	2	2	1	0	2	2	8	10	12	20	9	11
SAR406_Cluster_457	11	7	2	2	8	16	9	0	51	1	22	0	1	15	2	3	10	8	9	9	4	7	24	1	1	1	2	3	2	8	11	11	14	6	12
SAR406_Cluster_988	19	6	1	4	9	9	13	0	48	1	16	0	0	20	4	2	5	14	3	6	7	8	12	6	3	7	3	2	7	12	11	14	16	2	2
SAR406_Cluster_115	16	7	0	6	10	9	12	0	33	1	27	1	1	13	8	2	4	9	7	16	4	8	9	5	6	6	0	7	10	5	3	15	13	9	6
SAR406_Cluster_742	22	4	0	4	4	12	14	1	37	0	29	1	2	16	2	6	3	13	4	4	6	7	8	2	5	3	0	6	5	2	9	14	21	10	11
SAR406_Cluster_921	15	7	1	2	9	11	11	1	44	2	25	0	0	10	3	3	5	12	1	2	4	8	12	0	0	3	0	8	5	12	13	14	19	4	13
SAR406_Cluster_869	17	6	1	4	4	8	9	0	32	2	14	0	0	20	7	6	9	9	10	12	2	4	19	4	2	3	1	4	2	7	7	23	10	12	5
SAR406_Cluster_559	16	8	2	3	7	2	12	0	39	1	29	3	2	9	7	4	8	5	12	3	3	12	17	1	2	2	0	3	6	4	10	17	16	3	5
SAR406_Cluster_167	16	10	0	3	7	4	9	0	22	2	15	1	0	14	11	3	0	2	5	2	8	8	15	2	7	4	1	13	6	18	15	12	11	5	13
SAR406_Cluster_2156	21	8	1	4	14	5	8	1	28	0	20	0	0	7	1	2	3	2	1	12	4	9	9	6	8	14	1	7	7	10	11	17	11	8	2
SAR406_Cluster_509	19	10	0	6	22	5	8	0	19	0	32	0	0	8	9	2	4	5	5	6	1	10	10	1	1	3	1	4	3	11	8	10	11	3	5
SAR406_Cluster_275	9	10	0	6	7	7	8	0	22	1	31	0	0	8	6	2	3	6	3	5	7	8	13	3	5	5	0	5	4	7	5	15	7	8	4
SAR406_Cluster_69	20	4	0	2	13	9	5	0	17	4	18	1	1	7	12	6	1	6	6	5	6	11	13	1	3	1	0	1	1	9	7	20	9	7	3
SAR406_Cluster_274	12	8	0	4	15	5	9	0	24	2	25	0	1	2	2	2	0	5	3	11	9	5	12	11	5	9	0	6	5	6	3	9	8	8	3
SAR406_Cluster_774	9	5	1	5	15	5	5	1	28	2	28	1	0	5	6	7	3	2	2	9	3	5	11	5	8	1	0	1	4	19	5	8	8	10	0
SAR406_Cluster_194	7	6	2	5	12	2	6	0	28	0	22	1	0	2	4	7	1	4	4	6	10	6	13	2	3	6	2	7	5	7	9	15	9	4	8
SAR406_Cluster_952	5	3	0	4	9	3	8	0	15	1	31	0	1	5	18	4	8	9	5	3	11	7	16	3	0	0	0	4	2	6	4	11	11	8	9
SAR406_Cluster_242	8	4	1	3	5	8	6	1	13	1	9	1	0	9	3	1	2	5	2	12	9	16	12	4	3	6	0	12	5	11	11	11	13	10	6
SAR406_Cluster_737	20	6	0	6	12	0	6	1	16	4	22	0	0	10	7	4	1	4	4	12	6	5	10	3	4	7	1	9	4	6	1	13	6	7	6
SAR406_Cluster_367	11	4	0	4	19	7	13	0	24	1	15	2	0	8	6	3	2	6	3	6	6	11	9	2	4	4	0	4	3	7	9	16	8	4	1
SAR406_Cluster_736	12	8	1	5	10	1	6	0	21	0	31	3	0	13	8	3	2	4	1	3	5	5	18	2	0	2	2	7	2	5	5	12	8	2	10
SAR406_Cluster_897	9	3	0	1	11	6	8	0	21	1	20	0	0	10	4	2	2	5	5	6	10	6	10	6	4	8	2	4	5	4	8	18	10	3	4
SAR406_Cluster_297	9	8	0	9	9	4	1	0	22	3	24	0	0	9	4	3	0	1	4	5	7	8	11	1	0	4	0	2	5	17	12	8	12	9	3
SAR406_Cluster_283	12	4	0	7	12	7	5	0	12	0	39	0	0	13	3	3	3	3	2	3	4	11	9	1	1	4	0	3	2	12	8	7	9	8	6
SAR406_Cluster_643	12	10	0	4	4	10	11	1	25	0	20	0	0	8	2	5	1	4	8	4	4	6	15	0	2	1	0	2	1	3	9	12	15	11	3
SAR406_Cluster_864	17	7	1	4	7	6	3	0	19	1	19	2	1	10	3	4	3	3	1	9	4	11	10	3	4	3	0	5	3	9	6	12	13	4	4
SAR406_Cluster_375	10	5	0	5	7	11	6	0	27	0	19	1	0	11	6	1	2	6	3	4	5	11	15	3	2	3	1	5	2	6	5	11	9	4	1
SAR406_Cluster_132	10	9	1	1	8	5	7	0	20	0	14	1	2	8	3	2	5	10	2	6	5	6	7	3	4	6	0	4	7	7	6	8	14	5	10
SAR406_Cluster_266	13	10	1	7	9	6	2	0	22	1	21	0	0	8	2	1	1	1	5	9	4	10	10	5	1	8	0	1	7	9	11	4	9	3	4
SAR406_Cluster_541	12	8	0	1	5	7	8	1	23	2	23	2	1	7	6	1	4	4	4	7	6	9	10	2	3	3	0	2	4	5	9	9	7	5	4
SAR406_Cluster_128	6	8	0	6	13	1	9	0	20	1	26	0	0	6	9	0	5	3	2	4	4	8	14	1	3	3	0	2	2	9	8	10	9	6	5
